Title,URL,Description,Accessibility Score,Accessibility Issues,Category
,hln.be,,100,"[{""id"":""label-content-name-mismatch"",""title"":""Elements with visible text labels do not have matching accessible names."",""description"":""Visible text labels that do not match the accessible name can result in a confusing experience for screen reader users. [Learn more about accessible names](https://dequeuniversity.com/rules/axe/4.10/label-content-name-mismatch)."",""details"":[{""node"":{""type"":""node"",""lhId"":""1-0-BUTTON"",""path"":""1,HTML,1,BODY,4,DIV,a,#document-fragment,1,DIV,1,DIV,0,DIV,0,HEADER,0,DIV,2,DIV,0,BUTTON"",""selector"":""header#pg-header > div#pg-header-content > div#pg-login-btn-container > button#pg-login-btn"",""boundingRect"":{""top"":45,""bottom"":85,""left"":16,""right"":106,""width"":90,""height"":40},""snippet"":""<button id=\""pg-login-btn\"" class=\""pg-btn pg-btn-primary pg-login-btn svelte-ahe6zb\"" aria-label=\""login\"">"",""nodeLabel"":""Inloggen"",""explanation"":""Fix any of the following:\n  Text inside the element is not included in the accessible name""}}]}]",
,www.hln.be,,100,"[{""id"":""label-content-name-mismatch"",""title"":""Elements with visible text labels do not have matching accessible names."",""description"":""Visible text labels that do not match the accessible name can result in a confusing experience for screen reader users. [Learn more about accessible names](https://dequeuniversity.com/rules/axe/4.10/label-content-name-mismatch)."",""details"":[{""node"":{""type"":""node"",""lhId"":""1-0-BUTTON"",""path"":""1,HTML,1,BODY,4,DIV,a,#document-fragment,1,DIV,1,DIV,0,DIV,0,HEADER,0,DIV,2,DIV,0,BUTTON"",""selector"":""header#pg-header > div#pg-header-content > div#pg-login-btn-container > button#pg-login-btn"",""boundingRect"":{""top"":45,""bottom"":85,""left"":16,""right"":106,""width"":90,""height"":40},""snippet"":""<button id=\""pg-login-btn\"" class=\""pg-btn pg-btn-primary pg-login-btn svelte-ahe6zb\"" aria-label=\""login\"">"",""nodeLabel"":""Inloggen"",""explanation"":""Fix any of the following:\n  Text inside the element is not included in the accessible name""}}]}]",
