"Rank","Domain"
"1580","hln.be"
"2299","www.hln.be"
"3576","google.be"
"4075","vrt.be"
"7065","telenet-ops.be"
"7277","skynet.be"
"7534","com.be"
"7552","nieuwsblad.be"
"8521","dhnet.be"
"8788","kuleuven.be"
